date,max temperature, min temperature, total precipitation
4/1/2018,69.8,44.6,0
4/2/2018,77,46.4,0
4/3/2018,80.6,51.8,0
4/4/2018,84.2,53.6,0
4/5/2018,73.4,41,0.01
4/6/2018,71.6,41,0
4/7/2018,78.8,46.4,0
4/8/2018,68,46.4,0.23
4/9/2018,60.8,46.4,0.02
4/10/2018,59,51.8,0.06
4/11/2018,60.8,41,0.11
4/12/2018,71.6,42.8,0
4/13/2018,77,44.6,0
4/14/2018,80.6,51.8,0
4/15/2018,82.4,60.8,0
4/16/2018,73.4,42.8,0.63
4/17/2018,62.6,37.4,0
4/18/2018,73.4,42.8,0
4/19/2018,84.2,50,0
4/20/2018,80.6,50,0
4/21/2018,68,50,0
4/22/2018,68,53.6,0.02
4/23/2018,69.8,59,0.62
4/24/2018,80.6,55.4,0.38
4/25/2018,73.4,55.4,0
4/26/2018,75.2,50,0
4/27/2018,77,53.6,0.07
4/28/2018,73.4,50,0
4/29/2018,78.8,50,0
4/30/2018,78.8,46.4,0
5/1/2018,78.8,46.4,0
5/2/2018,80.6,50,0
5/3/2018,82.4,51.8,0
5/4/2018,80.6,51.8,0
5/5/2018,86,55.4,0
5/6/2018,86,59,0
5/7/2018,86,53.6,0
5/8/2018,86,53.6,0
5/9/2018,82.4,57.2,0
5/10/2018,84.2,60.8,0
5/11/2018,89.6,60.8,0
5/12/2018,91.4,62.6,0
5/13/2018,91.4,62.6,0.01
5/14/2018,89.6,62.6,0
5/15/2018,80.6,64.4,0.12
5/16/2018,73.4,64.4,0.33
5/17/2018,82.4,66.2,0.33
5/18/2018,82.4,66.2,0.05
5/19/2018,82.4,66.2,0.15
5/20/2018,86,68,0
5/21/2018,75.2,68,0.13
5/22/2018,82.4,69.8,0.09
5/23/2018,82.4,68,0.22
5/24/2018,86,69.8,0.12
5/25/2018,82.4,68,0.4
5/26/2018,82.4,68,0.35
5/27/2018,86,68,0.08
5/28/2018,77,69.8,0.5
5/29/2018,84.2,71.6,0.26
5/30/2018,82.4,69.8,0.12
5/31/2018,82.4,69.8,0.19
6/1/2018,87.8,69.8,0.03
6/2/2018,89.6,68,0.11
6/3/2018,86,68,0.22
6/4/2018,89.6,71.6,0
6/5/2018,87.8,62.6,0
6/6/2018,84.2,64.4,0
6/7/2018,84.2,68,0
6/8/2018,89.6,66.2,0
