date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,71.8,47.3,0,0.19
4/2/2018,78.8,50.5,0,0.19
4/3/2018,81.1,52.9,0,0.2
4/4/2018,86.2,54.7,0,0.27
4/5/2018,71.8,43.2,0.02,0.15
4/6/2018,72.7,44.6,0,0.2
4/7/2018,80.8,50.4,0,0.24
4/8/2018,69.8,47.3,0.25,0.11
4/9/2018,62.2,47.1,0.01,0.1
4/10/2018,63.9,54.1,0.06,0.09
4/11/2018,67.5,44.2,0.05,0.14
4/12/2018,74.8,45.1,0,0.22
4/13/2018,78.1,48.4,0,0.21
4/14/2018,84,55.4,0,0.25
4/15/2018,85.8,61.2,0.1,0.27
4/16/2018,73,43.3,0.78,0.15
4/17/2018,65.5,41,0,0.18
4/18/2018,76.1,45.7,0,0.23
4/19/2018,86.9,58.1,0,0.32
4/20/2018,82.4,49.5,0,0.25
4/21/2018,71.2,51.4,0,0.19
4/22/2018,68.9,53.2,0.01,0.12
4/23/2018,71.1,61.3,0.99,0.12
4/24/2018,82.8,58.1,0.15,0.2
4/25/2018,76.3,56.5,0,0.19
4/26/2018,77.4,52.3,0,0.2
4/27/2018,79,57.2,0.16,0.19
4/28/2018,74.7,51.3,0,0.18
4/29/2018,80.8,52.9,0,0.25
4/30/2018,80.6,53.1,0,0.25
5/1/2018,80.1,49.8,0,0.26
5/2/2018,84,54,0,0.27
5/3/2018,85.1,52.3,0,0.28
5/4/2018,84.7,55,0,0.25
5/5/2018,87.4,59.2,0,0.28
5/6/2018,86.5,63.9,0,0.26
5/7/2018,87.3,57.2,0,0.31
5/8/2018,87.3,56.5,0,0.28
5/9/2018,86.9,62.6,0,0.27
5/10/2018,89.2,66.6,0,0.29
5/11/2018,92.7,63.7,0,0.33
5/12/2018,93.7,64.4,0,0.34
5/13/2018,96.8,67.1,0.02,0.37
5/14/2018,94.3,64.4,0,0.32
5/15/2018,84.4,68.9,0.08,0.2
5/16/2018,80.6,69.1,0.32,0.14
5/17/2018,85.6,69.3,0.28,0.18
5/18/2018,87.6,71.6,0.05,0.21
5/19/2018,85.6,70,0.14,0.2
5/20/2018,89.1,72.1,0.05,0.25
5/21/2018,82.8,67.6,0.17,0.18
5/22/2018,85.3,71.2,0.36,0.19
5/23/2018,86.5,69.3,0.27,0.19
5/24/2018,86.7,69.1,0.26,0.17
5/25/2018,83.5,69.1,0.55,0.15
5/26/2018,88.3,70.3,0.48,0.21
5/27/2018,86.5,69.6,0.07,0.2
5/28/2018,82.6,72.1,0.33,0.16
5/29/2018,84.6,72.7,1.3,0.18
5/30/2018,82.6,72.9,0.16,0.12
5/31/2018,87.4,74.3,0,0.19
6/1/2018,90,73.6,0,0.22
6/2/2018,91.6,71.4,0,0.26
6/3/2018,90.5,73.4,0.41,0.22
6/4/2018,93.6,72.1,0.03,0.28
6/5/2018,89.4,63.1,0,0.3
6/6/2018,86.5,68,0,0.25
6/7/2018,87.6,68.9,0,0.23
6/8/2018,92.5,68.2,0,0.3
6/9/2018,92.7,70.3,0,0.29
6/10/2018,91.8,71.1,0.35,0.26
6/11/2018,90.5,70.7,0,0.26
6/12/2018,89.4,70.3,0,0.26
6/13/2018,89.1,70.7,0,0.21
6/14/2018,89.6,73,0,0.21
6/15/2018,91,72,0.1,0.25
6/16/2018,89.2,72.9,0,0.24
6/17/2018,88.2,73.4,0.15,0.19
6/18/2018,86.2,71.8,0,0.17
6/19/2018,92.3,74.1,0,0.24
6/20/2018,95.9,76.1,0,0.3
6/21/2018,96.3,76.1,0,0.32
6/22/2018,95,79,0,0.32
6/23/2018,92.8,76.5,0,0.29
6/24/2018,94.1,76.1,0,0.3
6/25/2018,95,75.2,0,0.29
6/26/2018,96.3,72,2,0.31
6/27/2018,92.8,73.9,0,0.25
6/28/2018,92.1,72.7,0.5,0.25
6/29/2018,92.8,72.1,0.25,0.24
6/30/2018,91.4,73.2,0,0.24
7/1/2018,92.3,75.2,0,0.26
