date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,71.6,44.6,0,0.21
4/2/2018,80.6,46.4,0,0.27
4/3/2018,82.4,53.6,0,0.28
4/4/2018,87.8,57.2,0,0.34
4/5/2018,74.7,39.4,0.01,0.21
4/6/2018,70.9,41,0,0.22
4/7/2018,79,44.2,0,0.25
4/8/2018,68.5,44.8,0.2,0.12
4/9/2018,62.1,45.3,0.03,0.14
4/10/2018,55,50.2,0.02,0.03
4/11/2018,64.4,40.3,0.02,0.13
4/12/2018,73.2,43.2,0,0.22
4/13/2018,78.3,46.9,0,0.25
4/14/2018,82,53.2,0,0.25
4/15/2018,86,61.5,0,0.29
4/16/2018,80.8,44.6,0.62,0.25
4/17/2018,63.7,36.5,0,0.19
4/18/2018,75,43.7,0,0.26
4/19/2018,86.9,58.8,0,0.38
4/20/2018,83.5,49.3,0,0.32
4/21/2018,70.2,41.4,0,0.21
4/22/2018,75.9,49.8,0.01,0.19
4/23/2018,73,59.9,0.31,0.16
4/24/2018,79.7,62.6,0.93,0.18
4/25/2018,76.8,57.7,0,0.21
4/26/2018,77.7,50.5,0,0.23
4/27/2018,77.2,57,0.04,0.22
4/28/2018,73.8,49.1,0,0.17
4/29/2018,79.7,49.1,0,0.26
4/30/2018,75.2,38.7,0,0.22
5/1/2018,76.8,43.7,0,0.23
5/2/2018,82.4,49.5,0,0.27
5/3/2018,83.3,50.9,0,0.27
5/4/2018,83.5,51.3,0,0.25
5/5/2018,85.8,55,0,0.29
5/6/2018,84.7,61.7,0,0.25
5/7/2018,87.3,52.2,0,0.32
5/8/2018,84.9,56.7,0,0.3
5/9/2018,82.9,55.9,0,0.25
5/10/2018,85.8,57.2,0,0.28
5/11/2018,90.5,58.1,0,0.32
5/12/2018,92.8,62.1,0,0.35
5/13/2018,93.9,64.2,0.01,0.34
5/14/2018,93.6,62.6,0,0.35
5/15/2018,82.8,68,0.04,0.18
5/16/2018,78.6,66.2,0.37,0.14
5/17/2018,83.1,67.6,0.29,0.17
5/18/2018,80.8,68.4,0.09,0.15
5/19/2018,83.8,68,0.35,0.19
5/20/2018,87.8,70,0,0.23
5/21/2018,81.9,66.2,0.08,0.18
5/22/2018,82.4,68.2,0.01,0.17
5/23/2018,84.4,69.4,0.31,0.18
5/24/2018,85.3,70,0.11,0.19
5/25/2018,85.5,68.9,0.44,0.18
5/26/2018,85.3,70.2,0,0.21
5/27/2018,86.7,66.2,0,0.23
5/28/2018,83.5,71.4,1.75,0.18
5/29/2018,86.9,72.9,0.15,0.21
5/30/2018,86.2,70.5,0.13,0.22
5/31/2018,81.5,70.7,0.23,0.16
6/1/2018,88.7,68.5,0,0.21
6/2/2018,88.5,67.3,0.12,0.26
6/3/2018,89.2,70.2,0.09,0.26
6/4/2018,92.3,72.3,0,0.28
6/5/2018,89.8,64.2,0,0.27
6/6/2018,85.5,62.6,0,0.26
6/7/2018,88.7,66.7,0,0.27
6/8/2018,91.4,65.7,0,0.3
6/9/2018,88.9,68,0,0.26
6/10/2018,90,68.9,0,0.27
6/11/2018,91.6,71.1,0,0.3
6/12/2018,90.7,68.9,0.15,0.28
6/13/2018,84.2,71.1,0.05,0.17
6/14/2018,86.5,70.7,0.14,0.2
6/15/2018,90.5,69.8,0.07,0.28
6/16/2018,90.9,71.1,0,0.25
6/17/2018,92.3,70.7,0.2,0.26
6/18/2018,89.2,70.7,0,0.24
6/19/2018,91.9,71.2,0,0.26
6/20/2018,93.7,73.8,0.01,0.28
6/21/2018,94.6,71.6,0.15,0.34
6/22/2018,95.2,74.3,0,0.35
6/23/2018,93.4,76.5,0,0.32
6/24/2018,91.9,71.1,0.08,0.27
6/25/2018,95.5,73.6,0.25,0.34
6/26/2018,94.8,70.3,0.35,0.34
6/27/2018,90.7,69.4,0.1,0.25
6/28/2018,91.8,70,0.4,0.27
6/29/2018,89.6,68.9,0,0.24
6/30/2018,89.4,70.7,0,0.23
7/1/2018,92.5,71.6,0,0.28
7/2/2018,91.2,72.7,0,0.28
7/3/2018,92.8,70.7,0.01,0.24
7/4/2018,90.5,70.5,0.07,0.24
7/5/2018,86.2,70.9,0.05,0.17
7/6/2018,86.2,70.7,0.04,0.17
7/7/2018,90.9,71.1,0,0.25
7/8/2018,90.5,70.3,0.21,0.24
7/9/2018,86.7,69.1,0,0.23
7/10/2018,89.1,65.5,0,0.26
7/11/2018,91.8,68,0,0.3
7/12/2018,94.3,71.6,0,0.32
7/13/2018,96.1,72.7,0,0.34
7/14/2018,91.4,71.6,0.15,0.24
7/15/2018,91.6,71.6,0,0.28
7/16/2018,90.9,74.3,0.01,0.23
7/17/2018,88.3,72.5,0.39,0.2
7/18/2018,88.3,73.6,0.12,0.19
7/19/2018,92.5,72.5,0.19,0.27
7/20/2018,88.7,74.1,0.33,0.19
