date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,71.6,46.4,0,0.18
4/2/2018,78.8,51.8,0,0.2
4/3/2018,80.6,53.6,0,0.23
4/4/2018,86,55.4,0,0.29
4/5/2018,75.2,44.6,0.01,0.17
4/6/2018,71.6,44.6,0,0.22
4/7/2018,78.8,50,0,0.22
4/8/2018,68,46.4,0.28,0.11
4/9/2018,59,46.4,0,0.1
4/10/2018,64.4,51.8,0.08,0.1
4/11/2018,62.6,42.8,0.1,0.12
4/12/2018,71.6,44.6,0,0.2
4/13/2018,77,50,0,0.22
4/14/2018,80.6,55.4,0,0.21
4/15/2018,84.2,62.6,0.02,0.26
4/16/2018,71.6,42.8,0.65,0.16
4/17/2018,64.4,39.2,0,0.18
4/18/2018,73.4,42.8,0,0.23
4/19/2018,86,51.8,0,0.34
4/20/2018,82.4,50,0,0.27
4/21/2018,69.8,51.8,0,0.2
4/22/2018,68,55.4,0.02,0.14
4/23/2018,71.6,60.8,0.9,0.14
4/24/2018,80.6,55.4,0.16,0.2
4/25/2018,73.4,55.4,0,0.18
4/26/2018,77,51.8,0,0.22
4/27/2018,78.8,53.6,0.08,0.23
4/28/2018,73.4,50,0,0.18
4/29/2018,78.8,51.8,0,0.26
4/30/2018,80.6,53.6,0,0.29
5/1/2018,78.8,48.2,0,0.27
5/2/2018,82.4,53.6,0,0.26
5/3/2018,82.4,53.6,0,0.26
5/4/2018,82.4,55.4,0,0.25
5/5/2018,86,59,0,0.28
5/6/2018,86,62.6,0,0.28
5/7/2018,86,55.4,0,0.31
5/8/2018,86,57.2,0,0.32
5/9/2018,84.2,60.8,0,0.26
5/10/2018,86,62.6,0,0.28
5/11/2018,91.4,62.6,0,0.36
5/12/2018,91.4,64.4,0,0.34
5/13/2018,93.2,64.4,0.03,0.32
5/14/2018,89.6,64.4,0,0.31
5/15/2018,80.6,68,0.13,0.17
5/16/2018,78.8,66.2,0.41,0.13
5/17/2018,80.6,68,0.3,0.16
5/18/2018,82.4,68,0.04,0.18
5/19/2018,80.6,68,0.09,0.16
5/20/2018,86,68,0.02,0.22
5/21/2018,73.4,68,0.16,0.09
5/22/2018,84.2,69.8,0.16,0.18
5/23/2018,86,68,0.18,0.23
5/24/2018,86,68,0.24,0.2
5/25/2018,87.8,68,0.57,0.21
5/26/2018,82.4,69.8,0.26,0.14
5/27/2018,84.2,71.6,0.06,0.19
5/28/2018,78.8,71.6,0.36,0.17
5/29/2018,86,71.6,0.4,0.21
5/30/2018,82.4,71.6,0.15,0.16
5/31/2018,82.4,71.6,0.08,0.16
6/1/2018,87.8,71.6,0.02,0.23
6/2/2018,91,71.6,0.06,0.24
6/3/2018,86,71.6,0.39,0.17
6/4/2018,91.4,73.4,0.01,0.29
6/5/2018,89.6,62.6,0,0.33
6/6/2018,86,68,0,0.27
6/7/2018,86,68,0,0.22
6/8/2018,89.6,68,0,0.29
6/9/2018,89.6,69.8,0.04,0.29
6/10/2018,87.8,69.8,0.4,0.25
6/11/2018,87.8,69.8,0.04,0.25
6/12/2018,87.8,68,0.18,0.23
6/13/2018,86,69.8,0.11,0.21
6/14/2018,87.8,71.6,0.11,0.2
6/15/2018,86,69.8,0.1,0.21
6/16/2018,87.8,69.8,0.07,0.24
6/17/2018,86,71.6,0.13,0.2
6/18/2018,86,71.6,0.01,0.2
6/19/2018,89.6,71.6,0,0.26
6/20/2018,93.2,73.4,0.02,0.28
6/21/2018,95,73.4,0.04,0.33
6/22/2018,95,73.4,0.04,0.35
6/23/2018,87.8,73.4,0.12,0.25
6/24/2018,91.4,75.2,0,0.29
6/25/2018,93.2,75.2,0,0.28
6/26/2018,95,69.8,0.81,0.33
6/27/2018,91.4,71.6,0.02,0.27
6/28/2018,91.4,71.6,0.16,0.25
6/29/2018,89.6,71.6,0.17,0.25
6/30/2018,89.6,71.6,0,0.25
7/1/2018,91.4,71.6,0.08,0.25
7/2/2018,82.4,71.6,0.11,0.14
7/3/2018,91.4,73.4,0.2,0.27
7/4/2018,91.4,71.6,0.03,0.28
7/5/2018,87.8,71.6,0.1,0.26
7/6/2018,87.8,71.6,0.11,0.24
7/7/2018,89.6,69.8,0.11,0.23
7/8/2018,90,71.6,0.49,0.09
7/9/2018,86,73.4,0.05,0.21
7/10/2018,89.6,71.6,0,0.24
7/11/2018,91.4,69.8,0,0.3
7/12/2018,91.4,71.6,0,0.28
7/13/2018,93.2,73.4,0,0.32
7/14/2018,93.2,75.2,0.11,0.3
7/15/2018,89.6,71.6,0.14,0.25
7/16/2018,89.6,73.4,0.05,0.2
7/17/2018,89.6,73.4,0.15,0.22
7/18/2018,91.4,73.4,0.09,0.27
7/19/2018,91.4,73.4,0.19,0.27
7/20/2018,86,73.4,0.14,0.14
7/21/2018,87.8,73.4,0.38,0.19
7/22/2018,82.4,68,0.35,0.17
7/23/2018,91.4,69.8,0.16,0.28
7/24/2018,84.2,69.8,0.04,0.17
7/25/2018,87.8,69.8,0.1,0.23
7/26/2018,89.6,71.6,0.02,0.25
7/27/2018,91.4,73.4,0.05,0.26
7/28/2018,87.8,71.6,0.16,0.22
7/29/2018,91.4,73.4,0.21,0.25
7/30/2018,89.6,71.6,0.25,0.25
7/31/2018,87.8,71.6,0.13,0.19
8/1/2018,80.6,71.6,0.15,0.15
8/2/2018,84.2,73.4,0.14,0.19
8/3/2018,86,69.8,0.26,0.2
8/4/2018,89.6,71.6,0.02,0.25
8/5/2018,91.4,73.4,0,0.24
8/6/2018,91.4,73.4,0.02,0.26
8/7/2018,93.2,71.6,0.2,0.28
8/8/2018,91.4,71.6,0.02,0.26
8/9/2018,93.2,73.4,0.25,0.3
8/10/2018,89.6,71.6,0.09,0.26
8/11/2018,91.4,71.6,0.02,0.25
8/12/2018,89.6,71.6,0,0.25
8/13/2018,91.4,73.4,0,0.27
8/14/2018,93.2,71.6,0.04,0.28
8/15/2018,89.6,73.4,0.12,0.24
8/16/2018,89.6,71.6,0.1,0.22
8/17/2018,89.6,71.6,0.04,0.25
