date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,76.3,50.9,0,0.24
4/2/2018,82.8,51.1,0,0.26
4/3/2018,83.5,54.1,0,0.27
4/4/2018,88.5,59.7,0.03,0.32
4/5/2018,74.8,41.9,0.03,0.21
4/6/2018,75.4,42.3,0,0.24
4/7/2018,83.3,52.7,0.02,0.27
4/8/2018,77.5,47.3,0.25,0.18
4/9/2018,63.7,47.3,0.01,0.12
4/10/2018,64.4,57.6,0.03,0.1
4/11/2018,74.5,47.5,0,0.19
4/12/2018,78.1,50,0,0.26
4/13/2018,81.9,51.4,0,0.29
4/14/2018,87.6,56.8,0,0.3
4/15/2018,88.9,68,0.22,0.35
4/16/2018,75.2,45.1,1.14,0.19
4/17/2018,67.3,43.2,0,0.21
4/18/2018,80.2,46.6,0,0.29
4/19/2018,89.1,59.9,0,0.38
4/20/2018,85.6,51.4,0,0.33
4/21/2018,74.8,52,0,0.25
4/22/2018,76.5,55.4,0.01,0.22
4/23/2018,75.4,63.7,1.16,0.16
4/24/2018,86,60.8,0.22,0.25
4/25/2018,79.2,58.5,0,0.23
4/26/2018,78.6,55,0,0.21
4/27/2018,79.7,58.3,0.35,0.2
4/28/2018,77.9,52.9,0,0.19
4/29/2018,83.7,54.5,0,0.3
4/30/2018,81.7,56.7,0,0.3
5/1/2018,83.5,55.8,0,0.31
5/2/2018,87.6,60.4,0,0.32
5/3/2018,88.9,59,0,0.35
5/4/2018,88.9,61.3,0,0.33
5/5/2018,90,66,0,0.32
5/6/2018,89.6,66.7,0,0.31
5/7/2018,88.3,59.4,0,0.35
5/8/2018,90.3,60.1,0,0.35
5/9/2018,91.2,64.9,0,0.36
5/10/2018,93.2,68.5,0,0.36
5/11/2018,95.5,66.7,0,0.41
5/12/2018,97.3,69.1,0,0.42
5/13/2018,98.8,70.7,0.01,0.44
5/14/2018,98.6,71.2,0,0.4
5/15/2018,88.5,73.8,0.04,0.28
5/16/2018,85.3,74.3,0.2,0.17
5/17/2018,90.7,73.4,0.33,0.27
