date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,73,47,0,0.23
4/2/2018,80,49,0,0.22
4/3/2018,78,55,0,0.2
4/4/2018,83,55,0,0.27
4/5/2018,69,37,0.08,0.16
4/6/2018,70,45,0,0.21
4/7/2018,79,45,0,0.26
4/8/2018,67,45,0.6,0.13
4/9/2018,60,45,0,0.12
4/10/2018,56,53,0,0.11
4/11/2018,66,53,0,0.19
4/12/2018,73,43,0,0.24
4/13/2018,77,45,0,0.24
4/14/2018,82,55,0,0.27
4/15/2018,85,63,0.77,0.3
4/16/2018,72,41,1.13,0.17
4/17/2018,67,41,0,0.19
4/18/2018,77,44,0,0.24
4/19/2018,85,50,0,0.35
4/20/2018,81,43,0,0.29
4/21/2018,70,43,0,0.22
4/22/2018,72,56,0.04,0.22
4/23/2018,73,64,1.34,0.15
4/24/2018,81,54,0,0.26
4/25/2018,72,53,0,0.18
4/26/2018,76,51,0,0.2
4/27/2018,81,51,0.03,0.21
4/28/2018,71,47,0,0.18
4/29/2018,78,50,0,0.26
4/30/2018,80,51,0,0.28
5/1/2018,80,54,0,0.3
5/2/2018,82,54,0,0.29
5/3/2018,83,55,0,0.31
5/4/2018,83,55,0,0.3
5/5/2018,85,61,0,0.28
5/6/2018,86,61,0,0.29
5/7/2018,85,53,0,0.33
5/8/2018,85,54,0,0.32
5/9/2018,87,54,0,0.32
5/10/2018,87,63,0.01,0.32
5/11/2018,89,61,0,0.36
5/12/2018,91,63,0,0.38
5/13/2018,92,65,0.12,0.4
5/14/2018,91,67,0,0.38
5/15/2018,83,67,0.17,0.25
5/16/2018,78,67,0.2,0.18
5/17/2018,82,68,0.3,0.23
5/18/2018,84,68,0,0.24
5/19/2018,86,70,0,0.24
5/20/2018,89,69,0,0.3
5/21/2018,83,66,0.32,0.23
5/22/2018,81,69,0.3,0.21
5/23/2018,83,69,0.9,0.19
5/24/2018,86,62,0,0.22
5/25/2018,86,68,0.04,0.19
5/26/2018,87,68,0,0.26
5/27/2018,84,69,0.04,0.19
5/28/2018,80,70,0.32,0.21
5/29/2018,79,71,0.43,0.19
5/30/2018,81,71,0.05,0.21
5/31/2018,86,71,0,0.25
6/1/2018,88,71,0,0.26
6/2/2018,90,71,0,0.27
6/3/2018,88,69,0.2,0.21
6/4/2018,92,70,0,0.31
6/5/2018,87,61,0,0.32
6/6/2018,85,63,0,0.26
6/7/2018,86,66,0,0.27
6/8/2018,90,68,0,0.34
