date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,74.7,44.1,0,0.25
4/2/2018,82.2,45.7,0,0.27
4/3/2018,84.2,50.2,0,0.31
4/4/2018,87.3,53.8,0,0.35
4/5/2018,74.3,34.9,0.01,0.21
4/6/2018,71.8,37.2,0,0.23
4/7/2018,80.8,44.8,0,0.29
4/8/2018,70,46.4,0.2,0.14
4/9/2018,63.7,46.4,0.01,0.14
4/10/2018,59.2,52.7,0.01,0.1
4/11/2018,71.8,41,0.01,0.18
4/12/2018,74.8,42.8,0,0.25
4/13/2018,79.5,43.7,0,0.28
4/14/2018,84.9,51.3,0,0.32
4/15/2018,87.3,61.7,0,0.35
4/16/2018,73.4,42.3,0.9,0.19
4/17/2018,64.4,38.3,0,0.2
4/18/2018,77.5,41.7,0,0.28
4/19/2018,87.6,55.2,0,0.39
4/20/2018,84.7,48.6,0,0.34
4/21/2018,72.7,43,0,0.26
4/22/2018,74.3,51.1,0,0.22
4/23/2018,69.3,64.4,0.74,0.14
4/24/2018,85.1,58.5,0.26,0.25
4/25/2018,75.4,56.5,0,0.21
4/26/2018,76.6,50.2,0,0.23
4/27/2018,77.2,54.7,0.28,0.23
4/28/2018,73.8,48.7,0,0.19
4/29/2018,81.1,51.1,0,0.3
4/30/2018,80.1,42.3,0,0.3
5/1/2018,80.1,45.5,0,0.3
5/2/2018,85.1,50,0,0.32
5/3/2018,86.9,51.4,0,0.34
5/4/2018,87.3,53.8,0,0.35
5/5/2018,88.2,58.3,0,0.34
5/6/2018,86.7,61.9,0,0.3
5/7/2018,86.4,54,0,0.36
5/8/2018,88,54.7,0,0.36
5/9/2018,86.9,56.3,0,0.32
5/10/2018,88.7,60.8,0,0.34
5/11/2018,93.4,59.7,0,0.43
5/12/2018,95,61.7,0,0.44
5/13/2018,97.7,64.6,0,0.45
5/14/2018,96.1,63.3,0,0.44
5/15/2018,86.4,66.4,0.03,0.29
5/16/2018,81.5,69.3,0.24,0.2
5/17/2018,87.3,70,0.26,0.26
5/18/2018,86.2,70.7,0.06,0.22
5/19/2018,87.4,68.4,0.27,0.27
5/20/2018,89.8,68.5,0.03,0.29
5/21/2018,87.1,67.6,0.1,0.28
5/22/2018,87.1,70,0.31,0.24
5/23/2018,88,70.7,0.28,0.28
5/24/2018,85.1,72,0.21,0.21
5/25/2018,85.1,71.8,0.46,0.19
5/26/2018,89.2,70.7,0.99,0.29
5/27/2018,88.9,69.1,0.06,0.26
5/28/2018,86,72.5,0.34,0.24
5/29/2018,88.7,72.5,0.37,0.27
5/30/2018,82.2,73.4,0.13,0.2
5/31/2018,89.1,73.9,0.06,0.28
6/1/2018,90.7,71.8,0,0.3
6/2/2018,92.5,69.4,0.16,0.34
6/3/2018,90.1,72,0.18,0.26
6/4/2018,94.1,72.7,0.05,0.35
6/5/2018,89.2,61,0,0.35
6/6/2018,87.4,64.2,0,0.33
6/7/2018,91,66.4,0,0.36
6/8/2018,94.8,68.4,0,0.41
6/9/2018,94.6,68.2,0.11,0.38
6/10/2018,92.8,69.3,0,0.33
6/11/2018,92.3,70.7,0,0.35
6/12/2018,91.9,68.9,0.12,0.32
6/13/2018,88.7,71.6,0.03,0.24
6/14/2018,89.4,72,0,0.27
6/15/2018,91.6,71.4,0.07,0.29
6/16/2018,89.4,72.1,0,0.28
6/17/2018,89.1,73,0.09,0.26
6/18/2018,89.4,71.8,0,0.27
6/19/2018,93.7,72.5,0,0.33
6/20/2018,93.6,73.4,0.01,0.31
6/21/2018,97.3,71.6,0,0.41
6/22/2018,96.3,75.7,0,0.4
6/23/2018,95,75.2,0,0.38
6/24/2018,94.8,76.3,0,0.36
6/25/2018,95.9,74.8,0,0.36
6/26/2018,98.8,70,0.39,0.44
6/27/2018,94.3,73,0.02,0.35
6/28/2018,95.7,72.9,0.13,0.36
6/29/2018,92.3,69.1,0.39,0.29
6/30/2018,91.6,71.2,0.01,0.3
7/1/2018,94.8,75.4,0,0.37
7/2/2018,90.7,74.5,0.14,0.25
7/3/2018,94.3,73.9,0,0.35
7/4/2018,95.2,71.1,0.11,0.36
7/5/2018,90.9,73,0.1,0.33
7/6/2018,92.7,70,0,0.34
7/7/2018,94.1,69.1,0.35,0.34
7/8/2018,92.8,70.9,0.3,0.33
7/9/2018,89.6,68.9,0,0.3
7/10/2018,93.2,68.5,0,0.35
7/11/2018,95.5,68.9,0,0.4
7/12/2018,97,73.9,0.01,0.4
7/13/2018,97.7,76.1,0,0.45
7/14/2018,97.5,73.8,0,0.4
7/15/2018,95.5,73.6,0.58,0.36
7/16/2018,92.5,73,0.05,0.28
7/17/2018,92.7,74.8,0,0.33
7/18/2018,94.8,75.9,0,0.34
7/19/2018,96.4,72.1,0.13,0.38
7/20/2018,94.6,74.7,0.15,0.27
