date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,73.4,51.8,0,0.21
4/2/2018,78.8,50,0,0.22
4/3/2018,80.6,54,0,0.21
4/4/2018,86,59,0.04,0.29
4/5/2018,71.6,44.6,0.11,0.12
4/6/2018,73.4,46.4,0,0.23
4/7/2018,80.6,51,0.02,0.25
4/8/2018,72,51.8,0.45,0.02
4/9/2018,64.4,51.8,0.01,0.12
4/10/2018,73.4,56,0.33,0.12
4/11/2018,64.4,46,0.15,0.1
4/12/2018,75.2,48.2,0,0.21
4/13/2018,78.8,53.6,0,0.24
4/14/2018,82.4,57,0,0.23
4/15/2018,86,66.2,0.32,0.3
4/16/2018,71.6,42.8,0.98,0.12
4/17/2018,66.2,44.6,0,0.18
4/18/2018,77,48.2,0,0.24
4/19/2018,87.8,57.2,0,0.32
4/20/2018,82.4,51.8,0,0.25
4/21/2018,73.4,53.6,0,0.22
4/22/2018,77,60.8,0,0.19
4/23/2018,77,64.4,1.27,0.17
4/24/2018,80.6,57,0.08,0.2
4/25/2018,75.2,60.8,0,0.19
4/26/2018,78.8,53,0,0.22
4/27/2018,80.6,55,0.09,0.25
4/28/2018,75.2,59,0,0.19
4/29/2018,80.6,57.2,0,0.27
4/30/2018,82.4,59,0,0.28
5/1/2018,82.4,55.4,0,0.27
5/2/2018,86,60.8,0,0.3
5/3/2018,86,60.8,0,0.31
5/4/2018,86,62.6,0,0.29
5/5/2018,87.8,64.4,0,0.28
5/6/2018,87.8,68,0,0.3
5/7/2018,87.8,60.8,0,0.34
5/8/2018,87.8,60.8,0,0.34
5/9/2018,89.6,62.6,0,0.34
5/10/2018,89.6,68,0,0.31
5/11/2018,91.4,68,0,0.34
5/12/2018,95,68,0,0.36
5/13/2018,95,69.8,0.03,0.39
5/14/2018,93.2,68,0.02,0.36
5/15/2018,82.4,69.8,0.22,0.19
5/16/2018,80.6,70,0.36,0.06
5/17/2018,82.4,70,0.48,0.14
5/18/2018,86,70,0.06,0.19
5/19/2018,87.8,69,0.12,0.26
5/20/2018,91.4,73.4,0.09,0.27
5/21/2018,80.6,68,0.41,0.07
5/22/2018,86,70,0.61,0.23
5/23/2018,86,70,0.31,0.18
5/24/2018,87.8,69,0.41,0.2
5/25/2018,89.6,70,0.61,0.25
5/26/2018,89.6,70,0.22,0.25
5/27/2018,86,71,0.16,0.21
5/28/2018,78.8,72,0.62,0.04
5/29/2018,82.4,74,0.72,0.13
5/30/2018,82.4,73,0.23,0.05
5/31/2018,84.2,72,0.09,0.16
6/1/2018,89.6,72,0.03,0.24
6/2/2018,91.4,73,0,0.26
6/3/2018,87.8,71,0.75,0.19
6/4/2018,95,77,0.07,0.32
6/5/2018,89.6,64.4,0,0.31
6/6/2018,86,71.6,0,0.27
6/7/2018,86,68,0,0.22
6/8/2018,91.4,69,0,0.29
6/9/2018,91.4,71.6,0.09,0.28
6/10/2018,89.6,71.6,0.74,0.26
6/11/2018,87.8,73.4,0.15,0.23
6/12/2018,82.4,70,0.25,0.13
6/13/2018,89.6,70,0.12,0.26
6/14/2018,87.8,71.6,0.04,0.24
6/15/2018,86,69.8,0.26,0.22
6/16/2018,86,69.8,0.2,0.2
6/17/2018,86,71.6,0.6,0.2
6/18/2018,89.6,71.6,0.02,0.25
6/19/2018,89.6,73.4,0,0.25
6/20/2018,95,75.2,0,0.26
6/21/2018,95,75.2,0.02,0.33
6/22/2018,93.2,73.4,0.07,0.31
6/23/2018,87.8,73.4,0.15,0.23
6/24/2018,91.4,73.4,0.05,0.28
6/25/2018,95,73.4,0,0.29
6/26/2018,95,69.8,0.53,0.32
6/27/2018,93.2,71.6,0.07,0.27
6/28/2018,93.2,71.6,0.22,0.25
6/29/2018,93.2,71.6,0.33,0.28
6/30/2018,89.6,71.6,0,0.23
