date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,70.5,49.6,0,0.19
4/2/2018,77,50,0,0.19
4/3/2018,78.1,54,0,0.2
4/4/2018,84.7,57.2,0.02,0.27
4/5/2018,70,42.4,0.04,0.15
4/6/2018,70.7,43.9,0,0.2
4/7/2018,80.1,56.3,0.02,0.23
4/8/2018,67.1,46.8,0.29,0.09
4/9/2018,59.9,46.2,0.01,0.09
4/10/2018,68.4,55,0.1,0.1
4/11/2018,63.9,45,0.07,0.11
4/12/2018,72.5,47.5,0,0.21
4/13/2018,76.5,52.9,0,0.23
4/14/2018,81.5,60.3,0,0.25
4/15/2018,84.2,62.6,0.16,0.27
4/16/2018,71.6,41.9,0.79,0.17
4/17/2018,64,41.2,0,0.17
4/18/2018,74.1,45.1,0,0.22
4/19/2018,85.3,53.8,0,0.31
4/20/2018,81,49.5,0,0.26
4/21/2018,68.9,51.6,0,0.18
4/22/2018,68.7,55.4,0.01,0.13
4/23/2018,71.8,63,1.15,0.13
4/24/2018,81,56.7,0.1,0.2
4/25/2018,73.6,57.4,0,0.18
4/26/2018,76.1,56.3,0,0.2
4/27/2018,77.7,59.7,0.13,0.2
4/28/2018,73,53.2,0,0.18
4/29/2018,78.8,53.6,0,0.24
4/30/2018,79.5,52.7,0,0.25
5/1/2018,78.8,52.2,0,0.25
5/2/2018,82.2,58.3,0,0.26
5/3/2018,83.3,59,0,0.26
5/4/2018,83.7,60.8,0,0.25
5/5/2018,84.7,63.7,0,0.25
5/6/2018,84.7,67.1,0,0.25
5/7/2018,84.7,60.4,0,0.3
5/8/2018,86,59.2,0,0.29
5/9/2018,84.9,63.7,0,0.27
5/10/2018,87.3,64.6,0,0.3
5/11/2018,89.6,66.7,0,0.34
5/12/2018,91,67.1,0,0.32
5/13/2018,93.6,69.1,0.03,0.35
5/14/2018,91.9,65.8,0,0.32
5/15/2018,82.4,69,0.1,0.18
5/16/2018,79.2,69,0.32,0.02
5/17/2018,83.7,69,0.3,0.17
5/18/2018,84.6,69,0.04,0.22
5/19/2018,84,69,0.1,0.17
5/20/2018,87.6,71.1,0.08,0.24
5/21/2018,80.6,68,0.22,0.07
5/22/2018,81.5,70,0.48,0.17
5/23/2018,82.4,70,0.3,0.09
5/24/2018,86.7,70,0.29,0.19
5/25/2018,85.8,70,0.56,0.19
5/26/2018,87.4,70,0.28,0.23
