date,max temperature, min temperature, total precipitation, total evapotranspiration
4/1/2018,70,45.5,0,0.18
4/2/2018,80.8,49.8,0,0.25
4/3/2018,85.1,54.5,0,0.29
4/4/2018,88.3,58.8,0,0.29
4/5/2018,77.4,44.6,0,0.22
4/6/2018,70.3,43.2,0,0.21
4/7/2018,79,45.5,0,0.23
4/8/2018,74.7,46.2,0.13,0.16
4/9/2018,58.8,46,0.07,0.11
4/10/2018,59.4,53.1,0,0.08
4/11/2018,57.9,41.2,0.01,0.1
4/12/2018,74.8,44.4,0,0.15
4/13/2018,77,46.9,0,0.23
4/14/2018,82,52.2,0,0.25
4/15/2018,84.6,59.5,0,0.26
4/16/2018,80.4,46.6,1.3,0.22
4/17/2018,64.2,41.4,0,0.19
4/18/2018,75,45,0,0.25
4/19/2018,87.6,56.1,0,0.38
4/20/2018,84.7,51.3,0,0.32
4/21/2018,69.6,49.5,0,0.19
4/22/2018,72.3,54.9,0,0.18
4/23/2018,72.9,61.7,0.82,0.18
4/24/2018,74.8,61.3,1.1,0.12
4/25/2018,77.5,57.6,0,0.22
4/26/2018,78.8,53.1,0,0.23
4/27/2018,81.3,57,0,0.24
4/28/2018,78.1,53.4,0,0.24
4/29/2018,82.4,54.9,0,0.29
4/30/2018,81.1,43.5,0,0.26
5/1/2018,76.1,46.2,0,0.24
5/2/2018,82,50,0,0.27
5/3/2018,81.3,52.2,0,0.24
5/4/2018,81.7,54,0,0.24
5/5/2018,85.8,54.9,0,0.28
5/6/2018,85.5,58.5,0,0.26
5/7/2018,90,54.7,0,0.33
5/8/2018,86.9,57,0,0.34
5/9/2018,85.3,56.8,0,0.29
5/10/2018,86.7,58.3,0,0.28
5/11/2018,89.1,60.4,0.41,0.3
5/12/2018,94.5,62.8,0,0.4
5/13/2018,93.2,62.1,0,0.37
5/14/2018,92.5,62.8,0,0.35
5/15/2018,83.8,68.4,0.26,0.19
5/16/2018,83.3,66.9,1.08,0.18
5/17/2018,80.4,68,0.69,0.18
5/18/2018,83.3,70.7,0.38,0.17
5/19/2018,84.7,66.6,0.15,0.19
5/20/2018,88,70.2,0.05,0.22
5/21/2018,78.3,70.2,0.11,0.13
5/22/2018,85.6,71.6,0.14,0.23
5/23/2018,82.6,69.3,0.14,0.19
5/24/2018,87.6,71.2,0.13,0.24
5/25/2018,87.4,70.7,0.12,0.2
5/26/2018,86.2,69.4,0.06,0.22
5/27/2018,85.1,69.3,0.05,0.22
5/28/2018,81.7,72.7,0.4,0.15
5/29/2018,86.5,72,0.06,0.22
5/30/2018,87.8,71.8,0.06,0.24
5/31/2018,82.9,72.1,0.05,0.16
6/1/2018,88.9,72,0.05,0.24
6/2/2018,91.6,70.3,0.03,0.28
6/3/2018,89.2,70.9,0.03,0.25
6/4/2018,93.7,74.1,0.02,0.34
6/5/2018,93.2,65.8,0,0.35
6/6/2018,86.9,68.5,0,0.29
6/7/2018,88.2,68.7,0,0.29
6/8/2018,90.1,67.6,0,0.28
6/9/2018,85.1,69.4,0.01,0.19
6/10/2018,91.2,69.4,0.01,0.29
6/11/2018,91.6,70.9,0.01,0.31
6/12/2018,91,69.6,0.12,0.29
6/13/2018,88.3,70.5,1.83,0.23
6/14/2018,87.8,72,0,0.22
6/15/2018,89.2,70.2,0.07,0.24
6/16/2018,90.5,71.2,0,0.28
6/17/2018,91.9,72.5,0.37,0.29
6/18/2018,88.9,73.8,0.03,0.22
6/19/2018,91,73.2,0,0.25
6/20/2018,93.6,73.8,0,0.27
6/21/2018,94.1,73.9,0,0.32
6/22/2018,96.3,77,0,0.35
6/23/2018,92.8,74.7,0,0.31
6/24/2018,93.9,74.1,0,0.31
6/25/2018,96.1,77,0,0.34
6/26/2018,95,71.2,0.16,0.31
6/27/2018,91.8,72.5,0,0.27
6/28/2018,93,72.1,0.19,0.28
6/29/2018,90.9,70.7,1.87,0.25
6/30/2018,90.9,72.5,0,0.26
7/1/2018,90.3,72.3,0,0.23
7/2/2018,91.6,73.8,0,0.27
7/3/2018,92.1,73.2,0,0.27
7/4/2018,91,72.9,0.01,0.25
7/5/2018,88.2,72.3,0.16,0.23
7/6/2018,89.1,72.7,0.01,0.25
7/7/2018,88.3,72.1,0,0.22
7/8/2018,91.9,72.3,0,0.27
7/9/2018,87.3,72,0,0.24
7/10/2018,91,69.4,0,0.28
