"Sample_no","Rotation","Rotation_code","Prev_crop"
1,"0.m.p.m.p.m","2","m"
2,"m.m.p.m.m.p","3","p"
3,"p.p.p.p.p.p","6","p"
4,"p.p.p.p.p.p","6","p"
5,"m.m.p.m.m.p","3","p"
6,"m.m.p.m.m.p","3","p"
7,"0.m.p.m.p.m","2","m"
8,"0.m.p.m.p.m","2","m"
9,"p.p.p.p.p.p","6","p"
10,"p.p.p.p.p.p","6","p"
11,"p.p.p.p.p.p","6","p"
12,"0.m.p.m.p.m","2","m"
13,"0.m.p.m.p.m","2","m"
14,"0.m.p.m.p.m","2","m"
15,"0.m.p.m.p.m","2","m"
16,"p.p.p.p.p.p","6","p"
17,"m.m.p.m.m.p","3","p"
18,"p.p.p.p.p.p","6","p"
19,"m.m.p.m.m.p","3","p"
20,"p.p.p.p.p.p","6","p"
21,"p.p.p.p.p.p","6","p"
22,"p.p.p.p.p.p","6","p"
23,"m.m.p.m.m.p","3","p"
24,"m.m.p.m.m.p","3","p"
25,"0.m.p.m.p.m","2","m"
26,"p.p.p.p.p.p","6","p"
27,"m.m.p.m.m.p","3","p"
28,"m.m.p.m.m.p","3","p"
29,"p.p.p.p.p.p","6","p"
30,"p.p.p.p.p.p","6","p"
31,"m.m.p.m.m.p","3","p"
32,"0.m.p.m.p.m","2","m"
33,"p.p.p.p.p.p","6","p"
34,"0.m.p.m.p.m","2","m"
35,"p.p.p.p.p.p","6","p"
36,"0.m.p.m.p.m","2","m"
37,"p.p.p.p.p.p","6","p"
38,"m.m.p.m.m.p","3","p"
39,"m.m.p.m.m.p","3","p"
40,"p.p.p.p.p.p","6","p"
41,"m.m.p.m.m.p","3","p"
42,"m.m.p.m.m.p","3","p"
43,"m.m.p.m.m.p","3","p"
44,"p.p.p.p.p.p","6","p"
45,"0.m.p.m.p.m","2","m"
46,"0.m.p.m.p.m","2","m"
47,"0.m.p.m.p.m","2","m"
48,"m.m.p.m.m.p","3","p"
49,"0.m.p.m.p.m","2","m"
50,"p.p.p.p.p.p","6","p"
51,"m.m.p.m.m.p","3","p"
52,"p.p.p.p.p.p","6","p"
53,"m.m.p.m.m.p","3","p"
54,"p.p.p.p.p.p","6","p"
55,"m.m.p.m.m.p","3","p"
56,"p.p.p.p.p.p","6","p"
57,"0.m.p.m.p.m","2","m"
58,"m.m.p.m.m.p","3","p"
59,"m.m.p.m.m.p","3","p"
60,"0.m.p.m.p.m","2","m"
61,"p.p.p.p.p.p","6","p"
62,"0.m.p.m.p.m","2","m"
63,"p.p.p.p.p.p","6","p"
64,"0.m.p.m.p.m","2","m"
65,"0.m.p.m.p.m","2","m"
66,"m.m.p.m.m.p","3","p"
67,"p.p.p.p.p.p","6","p"
68,"p.p.p.p.p.p","6","p"
69,"p.p.p.p.p.p","6","p"
70,"0.m.p.m.p.m","2","m"
71,"p.p.p.p.p.p","6","p"
72,"0.m.p.m.p.m","2","m"
73,"0.m.p.m.p.m","2","m"
74,"m.m.p.m.m.p","3","p"
75,"m.m.p.m.m.p","3","p"
76,"m.m.p.m.m.p","3","p"
77,"p.p.p.p.p.p","6","p"
78,"0.m.p.m.p.m","2","m"
79,"0.m.p.m.p.m","2","m"
80,"0.m.p.m.p.m","2","m"
81,"m.m.p.m.m.p","3","p"
82,"m.m.p.m.m.p","3","p"
83,"p.p.p.p.p.p","6","p"
84,"m.m.p.m.m.p","3","p"
85,"p.p.p.p.p.p","6","p"
86,"0.m.p.m.p.m","2","m"
87,"0.m.p.m.p.m","2","m"
88,"p.p.p.p.p.p","6","p"
89,"p.p.p.p.p.p","6","p"
90,"m.m.p.m.m.p","3","p"
91,"0.m.p.m.p.m","2","m"
92,"m.m.p.m.m.p","3","p"
93,"0.m.p.m.p.m","2","m"
94,"p.p.p.p.p.p","6","p"
95,"0.m.p.m.p.m","2","m"
96,"m.m.p.m.m.p","3","p"
97,"m.m.p.m.m.p","3","p"
98,"m.m.p.m.m.p","3","p"
99,"0.m.p.m.p.m","2","m"
100,"p.p.p.p.p.p","6","p"
101,"p.p.p.p.p.p","6","p"
102,"p.p.p.p.p.p","6","p"
103,"p.p.p.p.p.p","6","p"
104,"p.p.p.p.p.p","6","p"
105,"0.m.p.m.p.m","2","m"
106,"m.m.p.m.m.p","3","p"
107,"0.m.p.m.p.m","2","m"
108,"m.m.p.m.m.p","3","p"
109,"m.m.p.m.m.p","3","p"
110,"m.m.p.m.m.p","3","p"
111,"p.p.p.p.p.p","6","p"
112,"m.m.p.m.m.p","3","p"
