"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
1,"2002","06","05","07","10",2254,"2",2,"GA Green twin","0","R","whole kernel reject","reject",NA,292,0,0,0,0.2,0.2
2,"2002","06","05","07","10",3354,"3",3,"GA Green twin","0","R","whole kernel reject","reject",NA,306.1,0,0,0,0.2,0.2
3,"2002","06","05","07","10",6353,"6",3,"GA Green twin","50","R","whole kernel reject","reject",NA,221.2,0,0,0,0,0
4,"2002","06","05","07","10",6253,"6",2,"GA Green twin","50","R","whole kernel reject","reject",NA,261.1,0,0,0,0,0
5,"2002","06","05","07","10",3253,"3",2,"GA Green twin","50","R","whole kernel reject","reject",NA,239.8,0,0,0,0,0
6,"2002","06","05","07","10",3353,"3",3,"GA Green twin","50","R","whole kernel reject","reject",NA,236.7,0,0,0,0,0
7,"2002","06","05","07","10",2253,"2",2,"GA Green twin","50","R","whole kernel reject","reject",NA,294.1,0,0,0,0,0
8,"2002","06","05","07","10",2353,"2",3,"GA Green twin","50","R","whole kernel reject","reject",NA,290.2,0,0,0,0,0
9,"2002","06","05","07","10",6163,"6",1,"GA Green diamond","50","R","whole kernel reject","reject",NA,302.9,0,0,0,0,0
10,"2002","06","05","07","10",6252,"6",2,"GA Green twin","75","R","whole kernel reject","reject",NA,226.3,0,0,0,0,0
11,"2002","06","05","07","10",6251,"6",2,"GA Green twin","100","R","whole kernel reject","reject",NA,257.8,0,0,0,0,0
12,"2002","06","05","07","10",2154,"2",1,"GA Green twin","0","R","whole kernel reject","reject",499.8,200,0,0,0.1,0.9,1
13,"2002","06","05","07","10",2364,"2",3,"GA Green diamond","0","R","whole kernel reject","reject",373.2,199.9,0,0,0,0.2,0.2
14,"2002","06","05","07","10",2264,"2",2,"GA Green diamond","0","R","whole kernel reject","reject",418,200.1,0.4,2.5,2.2,18.2,23.3
15,"2002","06","05","07","10",2164,"2",1,"GA Green diamond","0","R","whole kernel reject","reject",777.7,199.9,0,0,154.9,1379.3,1534.2
16,"2002","06","05","07","10",6264,"6",2,"GA Green diamond","0","R","whole kernel reject","reject",535.1,199.9,15.9,191.1,40.9,357.5,605.4
17,"2002","06","05","07","10",3161,"3",1,"GA Green diamond","100","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
18,"2002","06","05","07","10",6351,"6",3,"GA Green twin","100","R","whole kernel reject","reject",NA,200,0,0,0,0,0
19,"2002","06","05","07","10",3364,"3",3,"GA Green diamond","0","R","whole kernel reject","reject",457.6,200.1,0,0,0,0.3,0.3
20,"2002","06","05","07","10",6164,"6",1,"GA Green diamond","0","R","whole kernel reject","reject",488.2,200,0,0,37.4,317.7,355.1
21,"2002","06","05","07","10",6254,"6",2,"GA Green twin","0","R","whole kernel reject","reject",479,200,0.8,4.3,1.5,8.8,15.4
22,"2002","06","05","07","10",6364,"6",3,"GA Green diamond","0","R","whole kernel reject","reject",383.2,200.2,0,0,0,0.2,0.2
23,"2002","06","05","07","10",3164,"3",1,"GA Green diamond","0","R","whole kernel reject","reject",557.6,199.9,0,0,19,148.2,167.2
24,"2002","06","05","07","10",3264,"3",2,"GA Green diamond","0","R","whole kernel reject","reject",406,199.8,0,0,1.4,8.6,10
25,"2002","06","05","07","10",2354,"2",3,"GA Green twin","0","R","whole kernel reject","reject",323.3,200,0,0,0,0,0
26,"2002","06","05","07","10",6354,"6",3,"GA Green twin","0","R","whole kernel reject","reject",348.9,199.9,0,0,0,0.1,0.1
27,"2002","06","05","07","10",3254,"3",2,"GA Green twin","0","R","whole kernel reject","reject",405.1,200,0,0,0,0,0
28,"2002","06","05","07","10",3154,"3",1,"GA Green twin","0","R","whole kernel reject","reject",558.5,200,0,0,0.3,6.9,7.2
29,"2002","06","05","07","10",6154,"6",1,"GA Green twin","0","R","whole kernel reject","reject",612.8,200.1,5.9,35.7,8.5,53.4,103.5
30,"2002","06","05","07","10",6154,"6",1,"GA Green twin","0","LA","loose split kernel accept","accept",75.2,75.2,0,0,1.3,7.9,9.2
31,"2002","06","05","07","10",3164,"3",1,"GA Green diamond","0","LA","loose split kernel accept","accept",76,76,0,0,0.1,0.4,0.5
