Year,Treatment_code,yield_lbs,yield_kg,smk,ss,tsmk,ok,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,153,4169.71,4674.24,73,3,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,253,4390.85,4922.14,73,3,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,353,4760.24,5336.23,72,3,75,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,152,4679.00,5245.16,71,4,75,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,252,4871.75,5461.23,74,3,77,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,352,5021.02,5628.56,74,2,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,151,4495.39,5039.33,69,2,71,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,251,4807.21,5388.88,72,3,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,351,4780.27,5358.69,71,4,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,154,2354.42,2639.30,71,5,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,254,3176.03,3560.33,71,5,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,354,3971.80,4452.39,72,6,78,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2154,3091.16,3465.19,66,1,67,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3154,2936.71,3292.05,66,0,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6154,3203.65,3591.29,68,0,68,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6254,3178.14,3562.69,72,0,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2254,3588.65,4022.87,70,1,71,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3254,3544.32,3973.18,68,0,68,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3354,4002.92,4487.27,72,0,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6354,3727.76,4178.82,68,1,69,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2354,3833.21,4297.03,72,1,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2153,3715.89,4165.51,71,1,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3153,4236.11,4748.68,72,1,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6153,4117.30,4615.50,74,1,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6253,4035.37,4523.64,77,1,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2253,4526.34,5074.02,71,1,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3253,4087.83,4582.46,75,1,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3353,4495.72,5039.70,73,2,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6353,3921.16,4395.62,74,2,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2353,4836.83,5422.09,75,1,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2152,4418.53,4953.17,73,1,74,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3152,4785.95,5365.05,73,1,74,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6152,4404.08,4936.97,73,2,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6252,3974.34,4455.24,76,1,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2252,4668.50,5233.39,70,1,71,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3252,4689.78,5257.24,73,3,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3352,4983.10,5586.05,69,3,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6352,4571.83,5125.03,74,1,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2352,4947.23,5545.85,72,2,74,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2151,4587.43,5142.51,71,1,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3151,4426.58,4962.19,68,2,70,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6151,4084.10,4578.27,70,3,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6251,3546.55,3975.68,74,1,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2251,4234.67,4747.07,70,2,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3251,4892.89,5484.93,71,2,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3351,4929.12,5525.54,71,2,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,
