"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
1,"06-05-2002","07-10-2002","06-02-2003","2",2,"GA Green twin","0",2254,"R","whole kernel reject","reject",NA,292,0,0,0,0.2,0.2
2,"06-05-2002","07-10-2002","06-02-2003","3",3,"GA Green twin","0",3354,"R","whole kernel reject","reject",NA,306.1,0,0,0,0.2,0.2
3,"06-05-2002","07-10-2002","06-02-2003","6",3,"GA Green twin","50",6353,"R","whole kernel reject","reject",NA,221.2,0,0,0,0,0
4,"06-05-2002","07-10-2002","06-02-2003","6",2,"GA Green twin","50",6253,"R","whole kernel reject","reject",NA,261.1,0,0,0,0,0
5,"06-05-2002","07-10-2002","06-02-2003","3",2,"GA Green twin","50",3253,"R","whole kernel reject","reject",NA,239.8,0,0,0,0,0
6,"06-05-2002","07-10-2002","06-02-2003","3",3,"GA Green twin","50",3353,"R","whole kernel reject","reject",NA,236.7,0,0,0,0,0
7,"06-05-2002","07-10-2002","06-02-2003","2",2,"GA Green twin","50",2253,"R","whole kernel reject","reject",NA,294.1,0,0,0,0,0
8,"06-05-2002","07-10-2002","06-02-2003","2",3,"GA Green twin","50",2353,"R","whole kernel reject","reject",NA,290.2,0,0,0,0,0
9,"06-05-2002","07-10-2002","06-02-2003","6",1,"GA Green diamond","50",6163,"R","whole kernel reject","reject",NA,302.9,0,0,0,0,0
10,"06-05-2002","07-10-2002","06-02-2003","6",2,"GA Green twin","75",6252,"R","whole kernel reject","reject",NA,226.3,0,0,0,0,0
11,"06-05-2002","07-10-2002","06-02-2003","6",2,"GA Green twin","100",6251,"R","whole kernel reject","reject",NA,257.8,0,0,0,0,0
12,"06-05-2002","07-10-2002","07-02-2003","2",1,"GA Green twin","0",2154,"R","whole kernel reject","reject",499.8,200,0,0,0.1,0.9,1
13,"06-05-2002","07-10-2002","07-02-2003","2",3,"GA Green diamond","0",2364,"R","whole kernel reject","reject",373.2,199.9,0,0,0,0.2,0.2
14,"06-05-2002","07-10-2002","07-02-2003","2",2,"GA Green diamond","0",2264,"R","whole kernel reject","reject",418,200.1,0.4,2.5,2.2,18.2,23.3
15,"06-05-2002","07-10-2002","07-02-2003","2",1,"GA Green diamond","0",2164,"R","whole kernel reject","reject",777.7,199.9,0,0,154.9,1379.3,1534.2
16,"06-05-2002","07-10-2002","07-02-2003","6",2,"GA Green diamond","0",6264,"R","whole kernel reject","reject",535.1,199.9,15.9,191.1,40.9,357.5,605.4
17,"06-05-2002","07-10-2002","07-02-2003","3",1,"GA Green diamond","100",3161,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
18,"06-05-2002","07-10-2002","07-02-2003","6",3,"GA Green twin","100",6351,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
19,"06-05-2002","07-10-2002","07-02-2003","3",3,"GA Green diamond","0",3364,"R","whole kernel reject","reject",457.6,200.1,0,0,0,0.3,0.3
20,"06-05-2002","07-10-2002","07-02-2003","6",1,"GA Green diamond","0",6164,"R","whole kernel reject","reject",488.2,200,0,0,37.4,317.7,355.1
21,"06-05-2002","07-10-2002","07-02-2003","6",2,"GA Green twin","0",6254,"R","whole kernel reject","reject",479,200,0.8,4.3,1.5,8.8,15.4
22,"06-05-2002","07-10-2002","07-02-2003","6",3,"GA Green diamond","0",6364,"R","whole kernel reject","reject",383.2,200.2,0,0,0,0.2,0.2
23,"06-05-2002","07-10-2002","07-02-2003","3",1,"GA Green diamond","0",3164,"R","whole kernel reject","reject",557.6,199.9,0,0,19,148.2,167.2
24,"06-05-2002","07-10-2002","07-02-2003","3",2,"GA Green diamond","0",3264,"R","whole kernel reject","reject",406,199.8,0,0,1.4,8.6,10
25,"06-05-2002","07-10-2002","07-02-2003","2",3,"GA Green twin","0",2354,"R","whole kernel reject","reject",323.3,200,0,0,0,0,0
26,"06-05-2002","07-10-2002","07-02-2003","6",3,"GA Green twin","0",6354,"R","whole kernel reject","reject",348.9,199.9,0,0,0,0.1,0.1
27,"06-05-2002","07-10-2002","07-02-2003","3",2,"GA Green twin","0",3254,"R","whole kernel reject","reject",405.1,200,0,0,0,0,0
28,"06-05-2002","07-10-2002","07-02-2003","3",1,"GA Green twin","0",3154,"R","whole kernel reject","reject",558.5,200,0,0,0.3,6.9,7.2
29,"06-05-2002","07-10-2002","07-02-2003","6",1,"GA Green twin","0",6154,"R","whole kernel reject","reject",612.8,200.1,5.9,35.7,8.5,53.4,103.5
30,"06-05-2002","07-10-2002","11-02-2003","6",1,"GA Green twin","0",6154,"LA","loose split kernel accept","accept",75.2,75.2,0,0,1.3,7.9,9.2
31,"06-05-2002","07-10-2002","11-02-2003","3",1,"GA Green diamond","0",3164,"LA","loose split kernel accept","accept",76,76,0,0,0.1,0.4,0.5
32,"06-05-2002","07-10-2002","11-02-2003","2",1,"GA Green twin","0",2154,"LA","loose split kernel accept","accept",57.6,57.6,0,0,0,0.5,0.5
33,"06-05-2002","07-10-2002","11-02-2003","6",3,"GA Green diamond","0",6364,"LA","loose split kernel accept","accept",59.6,59.6,0,0,0,0.4,0.4
34,"06-05-2002","07-10-2002","11-02-2003","2",1,"GA Green diamond","0",2164,"LA","loose split kernel accept","accept",61.4,61.4,0.2,2.2,2.3,65,69.7
