Date,MaxTf,MinTf,Rain (in),MaxTc,MinTc
2003-04-04,81.4,49.2,0,27.4,9.6
2003-04-05,79.9,54.6,0.07,26.6,12.6
2003-04-06,82.5,62.6,0.01,28.1,17.0
2003-04-07,84.3,63.8,0.19,29.1,17.7
2003-04-08,70.5,59.3,1.97,21.4,15.2
2003-04-09,66.8,52.5,0.61,19.3,11.4
2003-04-10,53.1,43.3,0.56,11.7,6.3
2003-04-11,66,44.4,0,18.9,6.9
2003-04-12,76.6,44.7,0,24.8,7.1
2003-04-13,83.2,47.1,0,28.4,8.4
2003-04-14,86.1,50.9,0,30.1,10.5
2003-04-15,81.5,53.8,0,27.5,12.1
2003-04-16,82.3,52.4,0,27.9,11.3
2003-04-17,83.4,56.6,0,28.6,13.7
2003-04-18,85.3,60.2,0,29.6,15.7
2003-04-19,80.8,63.7,0,27.1,17.6
2003-04-20,82.2,61.8,0,27.9,16.6
2003-04-21,78.3,59.8,0,25.7,15.4
2003-04-22,76.2,53.1,0,24.6,11.7
2003-04-23,75.7,48.4,0,24.3,9.1
2003-04-24,77.9,47.7,0,25.5,8.7
2003-04-25,67.8,61.1,0.54,19.9,16.2
2003-04-26,78.8,55,0.08,26.0,12.8
2003-04-27,82.7,53.9,0,28.2,12.2
2003-04-28,83.7,58.7,0,28.7,14.8
2003-04-29,84.9,55.9,0,29.4,13.3
2003-04-30,87.4,57.2,0.01,30.8,14.0
2003-05-01,87.9,65.4,0,31.1,18.6
2003-05-02,88.2,60.7,0.45,31.2,15.9
2003-05-03,79.5,59,0.05,26.4,15.0
2003-05-04,88.1,57.3,0,31.2,14.1
2003-05-05,87.1,63.8,0,30.6,17.7
2003-05-06,89.1,71.2,0,31.7,21.8
2003-05-07,89.7,71.2,0,32.1,21.8
2003-05-08,88.5,70.3,0,31.4,21.3
2003-05-09,90.1,65.4,0,32.3,18.6
2003-05-10,90.2,63.7,0,32.3,17.6
2003-05-11,92.5,70,0,33.6,21.1
2003-05-12,83.7,55.7,0.01,28.7,13.2
2003-05-13,85,53.2,0,29.4,11.8
2003-05-14,84.8,52.6,0,29.3,11.4
2003-05-15,85.4,62.6,0.7,29.7,17.0
2003-05-16,87.8,67.6,0,31.0,19.8
2003-05-17,90.7,67.1,0.27,32.6,19.5
2003-05-18,88.5,67.2,0.42,31.4,19.6
2003-05-19,85.8,64.6,1.51,29.9,18.1
2003-05-20,79.7,63.3,0,26.5,17.4
2003-05-21,83.2,63.4,0,28.4,17.4
2003-05-22,73,64,0.27,22.8,17.8
2003-05-23,80.3,61,0,26.8,16.1
2003-05-24,86.3,59.2,0,30.2,15.1
2003-05-25,87.9,63.9,0,31.1,17.7
2003-05-26,86.1,63.9,0,30.1,17.7
2003-05-27,82.5,61.8,0,28.1,16.6
2003-05-28,82.8,57.5,0,28.2,14.2
2003-05-29,85,53.6,0,29.4,12.0
2003-05-30,84.3,52.3,0,29.1,11.3
2003-05-31,89.1,59.6,0,31.7,15.3
2003-06-01,86.6,58.9,0,30.3,14.9
2003-06-02,89.4,54.6,0,31.9,12.6
2003-06-03,80.5,68.7,0.24,26.9,20.4
2003-06-04,87.8,67.9,0,31.0,19.9
2003-06-05,88.6,68.5,0,31.4,20.3
2003-06-06,85.8,69.5,1.5,29.9,20.8
2003-06-07,83.4,71.5,1.16,28.6,21.9
2003-06-08,88.5,72,0.31,31.4,22.2
2003-06-09,90.6,70.4,0,32.6,21.3
2003-06-10,92.9,67.8,0,33.8,19.9
2003-06-11,91.7,71.7,0,33.2,22.1
2003-06-12,92.1,68.4,0,33.4,20.2
2003-06-13,90.7,69.3,0.24,32.6,20.7
2003-06-14,90.6,68.5,0,32.6,20.3
2003-06-15,93.9,69,0.04,34.4,20.6
2003-06-16,94.8,68.9,1.74,34.9,20.5
2003-06-17,88.7,67.7,0.93,31.5,19.8
2003-06-18,81.9,70.7,0.48,27.7,21.5
2003-06-19,88.9,70.8,0.35,31.6,21.6
2003-06-20,84.1,71,0.26,28.9,21.7
2003-06-21,88.5,64.6,0,31.4,18.1
2003-06-22,89.6,62.6,0,32.0,17.0
2003-06-23,89.7,65.9,0,32.1,18.8
2003-06-24,90.2,63.2,0,32.3,17.3
2003-06-25,89.8,63.6,0,32.1,17.6
2003-06-26,91.8,63.8,0,33.2,17.7
2003-06-27,92.1,65.6,0,33.4,18.7
2003-06-28,87.7,68.8,0.07,30.9,20.4
2003-06-29,85,70.8,0.12,29.4,21.6
2003-06-30,90.4,70.2,0.24,32.4,21.2
2003-07-01,85.1,70.1,0.88,29.5,21.2
2003-07-02,83.2,72.6,0.45,28.4,22.6
2003-07-03,85.7,71.1,0.35,29.8,21.7
2003-07-04,86.3,71.2,0.01,30.2,21.8
2003-07-05,92.4,70,0,33.6,21.1
2003-07-06,92.4,69.4,0.05,33.6,20.8
2003-07-07,92.8,70.8,0.3,33.8,21.6
2003-07-08,93.1,70,0,33.9,21.1
2003-07-09,93.3,70.7,0,34.1,21.5
2003-07-10,93,72.8,0,33.9,22.7
2003-07-11,92.2,71,0,33.4,21.7
2003-07-12,92.1,69.4,0,33.4,20.8
2003-07-13,84.8,69.4,0,29.3,20.8
2003-07-14,85.1,68.3,0,29.5,20.2
2003-07-15,89.9,68.5,0.01,32.2,20.3
2003-07-16,91.1,67.8,0.03,32.8,19.9
2003-07-17,91.2,69.7,1.39,32.9,20.9
2003-07-18,90.7,69.1,0,32.6,20.6
2003-07-19,89.3,69.2,0.16,31.8,20.7
2003-07-20,91.7,68.4,0,33.2,20.2
