Date,MaxTf,MinTf,Rain (in),MaxTc,MinTc
2003-01-01,66,37,1.28,18.9,2.8
2003-01-02,65,45,0,18.3,7.2
2003-01-03,65,44,0,18.3,6.7
2003-01-04,44,29,0,6.7,-1.7
2003-01-05,50,29,0,10.0,-1.7
2003-01-06,61,37,0,16.1,2.8
2003-01-07,57,30,0,13.9,-1.1
2003-01-08,51,31,0,10.6,-0.6
2003-01-09,46,36,0,7.8,2.2
2003-01-10,67,38,0,19.4,3.3
2003-01-11,67,33,0,19.4,0.6
2003-01-12,50,36,0,10.0,2.2
2003-01-13,41,35,0,5.0,1.7
2003-01-14,46,33,0,7.8,0.6
2003-01-15,57,33,0,13.9,0.6
2003-01-16,58,28,0,14.4,-2.2
2003-01-17,62,28,0,16.7,-2.2
2003-01-18,62,22,0,16.7,-5.6
2003-01-19,41,24,0,5.0,-4.4
2003-01-20,50,31,0,10.0,-0.6
2003-01-21,64,36,0,17.8,2.2
2003-01-22,69,53,0,20.6,11.7
2003-01-23,59,14,0,15.0,-10.0
2003-01-24,37,16,0,2.8,-8.9
2003-01-25,46,23,0,7.8,-5.0
2003-01-26,46,23,0,7.8,-5.0
2003-01-27,54,33,0,12.2,0.6
2003-01-28,48,25,0,8.9,-3.9
2003-01-29,60,25,0,15.6,-3.9
2003-01-30,71,25,0,21.7,-3.9
2003-01-31,63,39,0.32,17.2,3.9
2003-02-01,61,44,0,16.1,6.7
2003-02-02,59,34,0,15.0,1.1
2003-02-03,68,38,0,20.0,3.3
2003-02-04,62,44,0,16.7,6.7
2003-02-05,62,36,0,16.7,2.2
2003-02-06,59,36,0,15.0,2.2
2003-02-07,52,43,0.5,11.1,6.1
2003-02-08,52,37,0.1,11.1,2.8
2003-02-09,53,37,0,11.7,2.8
2003-02-10,55,41,0.1,12.8,5.0
2003-02-11,62,35,0,16.7,1.7
2003-02-12,58,35,0,14.4,1.7
2003-02-13,60,40,0,15.6,4.4
2003-02-14,66,35,0,18.9,1.7
2003-02-15,69,41,0,20.6,5.0
2003-02-16,76,40,0.2,24.4,4.4
2003-02-17,65,40,0.86,18.3,4.4
2003-02-18,51,37,0,10.6,2.8
2003-02-19,53,34,0,11.7,1.1
2003-02-20,65,36,0,18.3,2.2
2003-02-21,65,49,0,18.3,9.4
2003-02-22,69,54,0.05,20.6,12.2
2003-02-23,69,42,0.95,20.6,5.6
2003-02-24,61,36,0,16.1,2.2
2003-02-25,70,43,0,21.1,6.1
2003-02-26,71,44,0,21.7,6.7
2003-02-27,67,42,1.8,19.4,5.6
2003-02-28,54,43,0,12.2,6.1
2003-03-01,62,43,0.2,16.7,6.1
2003-03-02,67,50,2.3,19.4,10.0
2003-03-03,58,44,0,14.4,6.7
2003-03-04,53,44,0.67,11.7,6.7
2003-03-05,59,35,0.05,15.0,1.7
2003-03-06,73,60,0,22.8,15.6
2003-03-07,74,55,1.46,23.3,12.8
2003-03-08,64,48,2,17.8,8.9
2003-03-09,65,48,1.03,18.3,8.9
2003-03-10,65,47,0.46,18.3,8.3
2003-03-11,75,47,0,23.9,8.3
2003-03-12,73,48,0,22.8,8.9
2003-03-13,80,55,0,26.7,12.8
2003-03-14,81,58,0.15,27.2,14.4
2003-03-15,73,52,0.15,22.8,11.1
2003-03-16,58,52,0,14.4,11.1
2003-03-17,70,53,0.25,21.1,11.7
2003-03-18,70,53,0.72,21.1,11.7
2003-03-19,79,63,0.02,26.1,17.2
2003-03-20,81,59,2.87,27.2,15.0
2003-03-21,74,47,0,23.3,8.3
2003-03-22,79,51,0,26.1,10.6
2003-03-23,72,49,0,22.2,9.4
2003-03-24,74,47,0,23.3,8.3
2003-03-25,78,51,0,25.6,10.6
2003-03-26,78,51,0,25.6,10.6
2003-03-27,78,58,0,25.6,14.4
2003-03-28,72,61,0.1,22.2,16.1
2003-03-29,72,54,0,22.2,12.2
2003-03-30,79,46,0.4,26.1,7.8
2003-03-31,70,34,0,21.1,1.1
2003-04-01,57,36,0,13.9,2.2
2003-04-02,71,45,0,21.7,7.2
2003-04-03,74,48,0,23.3,8.9
2003-04-04,78,52,0,25.6,11.1
2003-04-05,81,55,0,27.2,12.8
2003-04-06,78,64,0,25.6,17.8
2003-04-07,81,66,0,27.2,18.9
2003-04-08,81,63,0.35,27.2,17.2
2003-04-09,66,58,1.05,18.9,14.4
2003-04-10,65,44,0.93,18.3,6.7
2003-04-11,49,43,0.15,9.4,6.1
2003-04-12,65,45,0,18.3,7.2
2003-04-13,76,48,0,24.4,8.9
2003-04-14,81,49,0,27.2,9.4
2003-04-15,85,52,0,29.4,11.1
2003-04-16,81,54,0,27.2,12.2
2003-04-17,80,55,0,26.7,12.8
2003-04-18,83,59,0,28.3,15.0
2003-04-19,82,64,0,27.8,17.8
2003-04-20,82,63,0,27.8,17.2
2003-04-21,82,63,0,27.8,17.2
2003-04-22,73,61,0,22.8,16.1
2003-04-23,75,51,0,23.9,10.6
2003-04-24,75,49,0,23.9,9.4
2003-04-25,76,54,0,24.4,12.2
2003-04-26,76,56,1,24.4,13.3
2003-04-27,77,56,0,25.0,13.3
2003-04-28,80,58,0,26.7,14.4
2003-04-29,81,58,0,27.2,14.4
2003-04-30,84,58,0,28.9,14.4
2003-05-01,86,56,0.9,30.0,13.3
2003-05-02,89,63,0,31.7,17.2
2003-05-03,87,60,0.48,30.6,15.6
2003-05-04,77,60,0,25.0,15.6
2003-05-05,86,57,0,30.0,13.9
2003-05-06,87,69,0,30.6,20.6
2003-05-07,88,72,0,31.1,22.2
2003-05-08,87,70,0,30.6,21.1
2003-05-09,87,70,0,30.6,21.1
2003-05-10,90,70,0,32.2,21.1
2003-05-11,91,71,0,32.8,21.7
2003-05-12,92,65,0,33.3,18.3
2003-05-13,85,55,0,29.4,12.8
2003-05-14,82,58,0,27.8,14.4
2003-05-15,84,61,0,28.9,16.1
2003-05-16,83,68,0.2,28.3,20.0
2003-05-17,87,71,0.02,30.6,21.7
2003-05-18,87,71,0,30.6,21.7
2003-05-19,88,69,0,31.1,20.6
2003-05-20,83,63,0.28,28.3,17.2
2003-05-21,77,62,0.01,25.0,16.7
2003-05-22,82,68,0,27.8,20.0
2003-05-23,71,64,0.57,21.7,17.8
2003-05-24,77,60,0,25.0,15.6
2003-05-25,83,64,0,28.3,17.8
2003-05-26,87,68,0,30.6,20.0
2003-05-27,85,69,0,29.4,20.6
2003-05-28,80,60,0,26.7,15.6
2003-05-29,81,58,0,27.2,14.4
2003-05-30,84,57,0,28.9,13.9
2003-05-31,84,63,0,28.9,17.2
2003-06-01,90,63,0,32.2,17.2
2003-06-02,85,58,0,29.4,14.4
2003-06-03,88,68,0,31.1,20.0
2003-06-04,78,69,0.7,25.6,20.6
2003-06-05,86,68,0,30.0,20.0
2003-06-06,86,69,0,30.0,20.6
2003-06-07,85,70,2.18,29.4,21.1
2003-06-08,84,72,0.25,28.9,22.2
2003-06-09,85,73,0,29.4,22.8
2003-06-10,89,70,0,31.7,21.1
2003-06-11,92,73,0,33.3,22.8
2003-06-12,90,72,0,32.2,22.2
2003-06-13,92,70,0.08,33.3,21.1
2003-06-14,89,70,0.2,31.7,21.1
2003-06-15,88,70,0.3,31.1,21.1
2003-06-16,91,72,0,32.8,22.2
2003-06-17,93,69,2.33,33.9,20.6
2003-06-18,86,70,0.75,30.0,21.1
2003-06-19,81,72,0.08,27.2,22.2
2003-06-20,86,72,0,30.0,22.2
2003-06-21,82,72,0,27.8,22.2
2003-06-22,86,63,0,30.0,17.2
2003-06-23,88,68,0,31.1,20.0
2003-06-24,88,66,0,31.1,18.9
2003-06-25,90,67,0,32.2,19.4
2003-06-26,90,67,0,32.2,19.4
2003-06-27,91,69,0,32.8,20.6
2003-06-28,92,71,0,33.3,21.7
2003-06-29,86,72,0.05,30.0,22.2
2003-06-30,84,70,0.49,28.9,21.1
2003-07-01,88,70,1.24,31.1,21.1
2003-07-02,81,72,0.63,27.2,22.2
2003-07-03,82,71,0.23,27.8,21.7
2003-07-04,87,71,0.2,30.6,21.7
2003-07-05,84,72,0,28.9,22.2
2003-07-06,90,71,0.05,32.2,21.7
2003-07-07,90,73,0,32.2,22.8
2003-07-08,89,73,0,31.7,22.8
2003-07-09,92,74,0,33.3,23.3
2003-07-10,92,74,0,33.3,23.3
2003-07-11,92,74,0,33.3,23.3
2003-07-12,91,74,0,32.8,23.3
2003-07-13,91,71,0,32.8,21.7
2003-07-14,83,69,0,28.3,20.6
2003-07-15,83,69,0,28.3,20.6
2003-07-16,86,70,0,30.0,21.1
2003-07-17,92,70,0,33.3,21.1
2003-07-18,89,70,0,31.7,21.1
2003-07-19,90,40,0.18,32.2,4.4
2003-07-20,93,71,0,33.9,21.7
2003-07-21,93,70,0,33.9,21.1
2003-07-22,90,71,0.17,32.2,21.7
2003-07-23,89,67,3.1,31.7,19.4
2003-07-24,90,71,0.16,32.2,21.7
2003-07-25,90,71,0.17,32.2,21.7
2003-07-26,88,69,0.45,31.1,20.6
2003-07-27,89,70,0,31.7,21.1
2003-07-28,89,70,0,31.7,21.1
2003-07-29,90,72,0.18,32.2,22.2
2003-07-30,91,70,0,32.8,21.1
2003-07-31,90,70,0.48,32.2,21.1
2003-08-01,86,71,0.03,30.0,21.7
2003-08-02,86,71,0.2,30.0,21.7
2003-08-03,88,71,0,31.1,21.7
2003-08-04,88,72,0,31.1,22.2
2003-08-05,90,71,0.7,32.2,21.7
2003-08-06,90,74,0,32.2,23.3
2003-08-07,86,72,0.75,30.0,22.2
2003-08-08,86,70,0.68,30.0,21.1
2003-08-09,86,72,0.15,30.0,22.2
2003-08-10,89,71,0.8,31.7,21.7
2003-08-11,87,72,0,30.6,22.2
2003-08-12,89,70,1.26,31.7,21.1
2003-08-13,79,72,0.07,26.1,22.2
2003-08-14,90,73,0,32.2,22.8
2003-08-15,90,73,0.45,32.2,22.8
2003-08-16,90,73,0,32.2,22.8
2003-08-17,89,70,0.97,31.7,21.1
2003-08-18,89,70,0,31.7,21.1
2003-08-19,89,70,0,31.7,21.1
2003-08-20,86,71,0.08,30.0,21.7
2003-08-21,81,72,0,27.2,22.2
2003-08-22,87,72,0.37,30.6,22.2
2003-08-23,87,69,0,30.6,20.6
2003-08-24,89,72,0,31.7,22.2
2003-08-25,93,73,0,33.9,22.8
2003-08-26,93,73,0,33.9,22.8
2003-08-27,94,74,0,34.4,23.3
2003-08-28,93,72,0.18,33.9,22.2
2003-08-29,94,73,0,34.4,22.8
2003-08-30,93,72,1.21,33.9,22.2
2003-08-31,92,73,0,33.3,22.8
2003-09-01,95,72,0,35.0,22.2
2003-09-02,95,72,0.27,35.0,22.2
2003-09-03,91,73,0,32.8,22.8
2003-09-04,93,72,0.05,33.9,22.2
2003-09-05,90,73,0.1,32.2,22.8
2003-09-06,86,72,1.36,30.0,22.2
2003-09-07,75,65,0.24,23.9,18.3
2003-09-08,75,65,0.18,23.9,18.3
2003-09-09,85,64,0,29.4,17.8
2003-09-10,85,64,0,29.4,17.8
2003-09-11,85,64,0,29.4,17.8
2003-09-12,80,63,0,26.7,17.2
2003-09-13,86,63,0,30.0,17.2
2003-09-14,90,69,0,32.2,20.6
2003-09-15,86,68,0.08,30.0,20.0
2003-09-16,89,67,0,31.7,19.4
2003-09-17,89,66,0,31.7,18.9
2003-09-18,85,60,0,29.4,15.6
2003-09-19,86,61,0,30.0,16.1
2003-09-20,87,61,0,30.6,16.1
2003-09-21,90,64,0,32.2,17.8
2003-09-22,92,72,0.23,33.3,22.2
2003-09-23,85,68,0.2,29.4,20.0
2003-09-24,85,62,0.1,29.4,16.7
2003-09-25,86,63,0,30.0,17.2
2003-09-26,88,66,0,31.1,18.9
2003-09-27,88,66,0,31.1,18.9
2003-09-28,87,68,0,30.6,20.0
2003-09-29,88,54,0,31.1,12.2
2003-09-30,75,49,0,23.9,9.4
2003-10-01,77,50,0,25.0,10.0
2003-10-02,79,49,0,26.1,9.4
2003-10-03,77,52,0,25.0,11.1
2003-10-04,78,50,0,25.6,10.0
2003-10-05,84,53,0,28.9,11.7
2003-10-06,84,59,0,28.9,15.0
2003-10-07,74,59,0.1,23.3,15.0
2003-10-08,79,66,0,26.1,18.9
2003-10-09,75,62,0.15,23.9,16.7
2003-10-10,77,63,0,25.0,17.2
2003-10-11,80,64,0.37,26.7,17.8
2003-10-12,71,65,0.52,21.7,18.3
2003-10-13,70,66,0.05,21.1,18.9
2003-10-14,80,66,0,26.7,18.9
2003-10-15,83,53,0,28.3,11.7
2003-10-16,75,46,0,23.9,7.8
2003-10-17,80,55,0,26.7,12.8
2003-10-18,83,57,0,28.3,13.9
2003-10-19,77,51,0,25.0,10.6
2003-10-20,78,50,0,25.6,10.0
2003-10-21,82,50,0,27.8,10.0
2003-10-22,84,50,0,28.9,10.0
2003-10-23,84,49,0,28.9,9.4
2003-10-24,84,49,0,28.9,9.4
2003-10-25,85,55,0,29.4,12.8
2003-10-26,83,64,0,28.3,17.8
2003-10-27,82,65,1.08,27.8,18.3
2003-10-28,70,61,0.86,21.1,16.1
2003-10-29,62,50,1.63,16.7,10.0
2003-10-30,75,50,0,23.9,10.0
2003-10-31,78,53,0,25.6,11.7
2003-11-01,79,59,0,26.1,15.0
2003-11-02,81,52,0,27.2,11.1
2003-11-03,82,58,0,27.8,14.4
2003-11-04,80,64,0,26.7,17.8
2003-11-05,86,68,0.23,30.0,20.0
2003-11-06,86,70,0,30.0,21.1
2003-11-07,86,65,0,30.0,18.3
2003-11-08,84,66,0,28.9,18.9
2003-11-09,78,56,0,25.6,13.3
2003-11-10,61,45,0,16.1,7.2
2003-11-11,68,45,0,20.0,7.2
2003-11-12,77,51,0,25.0,10.6
2003-11-13,81,51,0,27.2,10.6
2003-11-14,67,35,0,19.4,1.7
2003-11-15,63,44,0,17.2,6.7
2003-11-16,74,45,0,23.3,7.2
2003-11-17,79,50,0,26.1,10.0
2003-11-18,80,50,0,26.7,10.0
2003-11-19,83,60,0.59,28.3,15.6
2003-11-20,83,50,0,28.3,10.0
2003-11-21,83,42,0,28.3,5.6
2003-11-22,74,43,0,23.3,6.1
2003-11-23,75,46,0,23.9,7.8
2003-11-24,77,50,0,25.0,10.0
2003-11-25,67,33,0.3,19.4,0.6
2003-11-26,67,42,0,19.4,5.6
2003-11-27,68,33,0,20.0,0.6
2003-11-28,79,53,0,26.1,11.7
2003-11-29,79,36,0,26.1,2.2
2003-11-30,77,28,0,25.0,-2.2
2003-12-01,60,31,0,15.6,-0.6
2003-12-02,55,41,0,12.8,5.0
2003-12-03,63,39,0,17.2,3.9
2003-12-04,68,35,0,20.0,1.7
2003-12-05,53,44,0.52,11.7,6.7
2003-12-06,55,34,0,12.8,1.1
2003-12-07,47,32,0,8.3,0.0
2003-12-08,55,31,0,12.8,-0.6
2003-12-09,61,31,0,16.1,-0.6
2003-12-10,69,31,0.05,20.6,-0.6
2003-12-11,64,40,0.6,17.8,4.4
2003-12-12,52,36,0,11.1,2.2
2003-12-13,59,36,0,15.0,2.2
2003-12-14,60,36,0.72,15.6,2.2
2003-12-15,50,32,0,10.0,0.0
2003-12-16,58,40,0,14.4,4.4
2003-12-17,67,42,0.25,19.4,5.6
2003-12-18,50,34,0,10.0,1.1
2003-12-19,61,38,0,16.1,3.3
2003-12-20,54,33,0,12.2,0.6
2003-12-21,48,25,0,8.9,-3.9
2003-12-22,64,25,0,17.8,-3.9
2003-12-23,72,39,0.15,22.2,3.9
2003-12-24,57,29,0,13.9,-1.7
